pool_address,token_mint_address,owner_address,mint_a,mint_b,shift,initial_token_reserves,royalties_bps,transaction_signature,created_at
FmAhUyg2fosoKNESaSGzDY8UFvxMYCa2QoovaQLQbNZW,99wTP7P6ZgCGfCh7zDzWD7tY8wytg9wJFgec4Qsn6kob,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,So11111111111111111111111111111111111111112,99wTP7P6ZgCGfCh7zDzWD7tY8wytg9wJFgec4Qsn6kob,100,1000,100,3WAkTSMPNqxQfD9TqrzgJFD77kRSFbNFfVNEHWVd1XCh15UeEWimc8mNhaFtsFJoFQsVURp1D1f5PschiEWuL2yT,1745343011
E6ZisCHMxncAexyqMf2YvWectiz7THRPrioMw5ARfB3u,8AodgmY7nKSDrYYDh7AN9g7ukD1aiE8DAi3XKRxoe4fv,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,So11111111111111111111111111111111111111112,8AodgmY7nKSDrYYDh7AN9g7ukD1aiE8DAi3XKRxoe4fv,100,1000,100,5FaLP7WGWhTwxCg4pjdDFBqsM42WkCjwfimMihxfspM1Hey6WoAteGbWCoFw7cSKjR77y7DYXrMo3mwoXwVTd3oL,1745758248
3ejwMaaeaHwSFkMgHt4aZgEue8K746KVnhQ5YmXhTaTx,6PMzMYWcRmNv9fSW186F4WHqpAWzbkSeAnn1iABbhogv,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,So11111111111111111111111111111111111111112,6PMzMYWcRmNv9fSW186F4WHqpAWzbkSeAnn1iABbhogv,100,1000,100,2upxLxKE4x2QDdFUUAVYjksSaqTAGjFmkaDkkuzaARXuxBKyBVXLnN2hapc2QxW54ZLycNHzKmfywrcaUonCTJ4M,1745759169
DMuvx3i3EsLKpbfhn77rLsb1ppKE9tQTYGNjxjZkqja2,7UJ53zWDsUUjuUf6NYM9Xw2uxkyNnDqhHbp88A7pReWd,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,So11111111111111111111111111111111111111112,7UJ53zWDsUUjuUf6NYM9Xw2uxkyNnDqhHbp88A7pReWd,100,1000,100,5zQ4hXEnnrbjPpJjxgKWT5wnREA6FVSxw37r4FEg64vmzDYow2QhYJLwbVGPSaAMUB1VHfNPk8yNeKvnL7Z46PqX,1745762181
FzJeQeUFVn3qyoZcEVL2KGdDyWQBkcAhcg3uLr4PRaej,BYr2fwVBFYUSLWokTixJXgihcSckKoioudGY8JeGkTxL,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,So11111111111111111111111111111111111111112,BYr2fwVBFYUSLWokTixJXgihcSckKoioudGY8JeGkTxL,100,1000,100,4QKayybWSqVLekj7R9NvGSx1WYLCEmXHVTi83YkLqrDy3vvdwyeT2Ur6iAyuNHz9Z4q3hYed7pEqYdvAmxnbvcXA,1745763269
